disasterNo,year,seq,group,subgroup_id,type_id,subtype,eventName,country,iso,region_id,continent_id,location,startYear,startMonth,startDay,endYear,endMonth,endDay,totalDeaths,injured,Affected,homeless,totalAffected,damageCost
1998-0420-USA,1998,420,Natural,Meteorological,Storm,,,United States ofAmerica (the),USA,NorthernAmerica,Americas,"Texas, Tennessee, LA, Arkansas, MS, North Carolina, South Carolina",1998,12,23,1998,12,28,10,,100000,,100000,370000
1998-0380-USA,1998,380,Natural,Meteorological,Storm,Tropical cyclone,Georges,United States ofAmerica (the),USA,NorthernAmerica,Americas,"Florida, Mississippi, Alabama, Lousiana",1998,9,20,1998,9,29,4,,4608,519,5127,1204950
1998-0376-PAN,1998,376,Natural,Meteorological,Storm,Tropical cyclone,Mitch,Panama,PAN,CentralAmerica,Americas,,1998,10,26,1998,10,26,3,,7500,,7500,50
1998-0404-PHL,1998,404,Natural,Meteorological,Storm,Tropical cyclone,Faith (Norming),Philippines (the),PHL,South-EasternAsia,Asia,"E and W Samar, Cagayan, Pampanga, Bulacan, Isabela, Quenzon, W Mindoro, Palawan, Masbate, Albay, Sorsogon, Catanduanes, Aklan, Capiz, Antique, Iloilo, Leyte",1998,12,11,1998,12,11,69,30,326490,,326520,27399
1998-0607-TWN,1998,607,Natural,Hydrological,Flood,Riverine flood,,Taiwan (Province of China),TWN,EasternAsia,Asia,"Tainan, Kaohsiung, Pintung, Yulin counties",1998,6,1,1998,6,8,3,,300,,300,19000
1998-0603-TWN,1998,603,Natural,Meteorological,Storm,Tropical cyclone,Babs,Taiwan (Province of China),TWN,EasternAsia,Asia,,1998,10,23,1998,10,24,2,,400000,,400000,4000
1998-0605-USA,1998,605,Natural,Hydrological,Flood,Flash flood,,United States ofAmerica (the),USA,NorthernAmerica,Americas,"Illinois, Wisconsin, Indiana, MI",1998,8,4,1998,8,6,2,,600,,600,62500
1998-0610-USA,1998,610,Natural,Meteorological,Storm,Tropical cyclone,Bonnie,United States ofAmerica (the),USA,NorthernAmerica,Americas,"North Carolina, Virginia, South Carolina",1998,8,19,1998,8,30,2,,17000,,17000,1500000
1998-0611-USA,1998,611,Natural,Meteorological,Storm,Tropical cyclone,Frances,United States ofAmerica (the),USA,NorthernAmerica,Americas,"Texas, Louisiana",1998,9,8,1998,9,13,1,6,,,6,500000
1998-0434-VNM,1998,434,Natural,Meteorological,Storm,Tropical cyclone,Faith & Gil,Viet Nam,VNM,South-EasternAsia,Asia,"Khanh Hoa, Phu Yen, Quang Nam, Ninh Thuan, Quang Ngai, Ben Tre, Bihn Thuan, Ca Mau provinces",1998,12,16,1998,12,16,43,,81635,3010,84645,15000
1998-0413-ZAF,1998,413,Natural,Meteorological,Storm,Convective storm,,SouthAfrica,ZAF,SouthernAfrica,Africa,Umtata,1998,12,15,1998,12,15,18,160,,,160,165000
1999-0098-USA,1999,98,Natural,Meteorological,Storm,Convective storm,,United States ofAmerica (the),USA,NorthernAmerica,Americas,"Louisiana, Kansas, Arkansas, Montana, Oklahoma, Tennessee, Texas",1999,4,2,1999,4,4,10,100,,500,600,300000
1999-0108-USA,1999,108,Natural,Meteorological,Storm,Convective storm,,United States ofAmerica (the),USA,NorthernAmerica,Americas,"Mississippi, Louisiana, Texas",1999,4,13,1999,4,15,1,33,,150,183,100000
1999-0449-TUR,1999,449,Natural,Geophysical,Earthquake,Ground movement,,Turkey,TUR,WesternAsia,Asia,"Duzce, Bolu, Kaynasli",1999,11,12,1999,11,12,845,4948,165000,55000,224948,1000000
1999-0321-TWN,1999,321,Natural,Geophysical,Earthquake,Ground movement,,Taiwan (Province of China),TWN,EasternAsia,Asia,"Nantou, Taichung County",1999,9,21,1999,9,21,2264,8664,,100000,108664,14100000
